Comunidades y Ciudades Autónomas;Edad del trabajador;Sexo;Periodo;Total
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2018;21.537,66
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2017;21.089,84
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2016;20.657,58
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2015;20.436,22
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2014;21.220,33
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2013;20.745,12
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2012;21.208,26
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2011;21.103,65
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2010;21.107,52
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2009;20.790,83
Castilla - La Mancha;De 35 a 44 años;Ambos sexos;2008;20.747,88
Castilla - La Mancha;De 35 a 44 años;Mujeres;2021;21.324,5
Castilla - La Mancha;De 35 a 44 años;Mujeres;2020;20.881,44
Castilla - La Mancha;De 35 a 44 años;Mujeres;2019;20.217,81
Castilla - La Mancha;De 35 a 44 años;Mujeres;2018;19.353,93
Castilla - La Mancha;De 35 a 44 años;Mujeres;2017;18.555,42
Castilla - La Mancha;De 35 a 44 años;Mujeres;2016;18.307,69
Castilla - La Mancha;De 35 a 44 años;Mujeres;2015;18.278,3
Castilla - La Mancha;De 35 a 44 años;Mujeres;2014;19.421,89
Castilla - La Mancha;De 35 a 44 años;Mujeres;2013;17.916,29
Castilla - La Mancha;De 35 a 44 años;Mujeres;2012;18.600,93
Castilla - La Mancha;De 35 a 44 años;Mujeres;2011;19.111,99
Castilla - La Mancha;De 35 a 44 años;Mujeres;2010;19.166,34
Castilla - La Mancha;De 35 a 44 años;Mujeres;2009;18.124,85
Castilla - La Mancha;De 35 a 44 años;Mujeres;2008;18.337,45
Castilla - La Mancha;De 35 a 44 años;Hombres;2021;24.833,48
Castilla - La Mancha;De 35 a 44 años;Hombres;2020;24.198,74
Castilla - La Mancha;De 35 a 44 años;Hombres;2019;23.380,42
Castilla - La Mancha;De 35 a 44 años;Hombres;2018;23.494,89
Castilla - La Mancha;De 35 a 44 años;Hombres;2017;23.007,32
Castilla - La Mancha;De 35 a 44 años;Hombres;2016;22.508,88
Castilla - La Mancha;De 35 a 44 años;Hombres;2015;22.197,14
Castilla - La Mancha;De 35 a 44 años;Hombres;2014;22.743,15
Castilla - La Mancha;De 35 a 44 años;Hombres;2013;23.196,8
Castilla - La Mancha;De 35 a 44 años;Hombres;2012;23.275,83
Castilla - La Mancha;De 35 a 44 años;Hombres;2011;22.767,52
Castilla - La Mancha;De 35 a 44 años;Hombres;2010;22.509,57
Castilla - La Mancha;De 35 a 44 años;Hombres;2009;22.579,46
Castilla - La Mancha;De 35 a 44 años;Hombres;2008;22.397,87
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2021;24.591,66
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2020;23.639,24
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2019;22.969,02
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2018;23.304,99
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2017;22.400,18
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2016;22.462,38
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2015;22.559,52
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2014;22.582,4
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2013;22.699,83
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2012;22.418,79
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2011;23.128,42
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2010;22.699,08
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2009;23.270,9
Castilla - La Mancha;De 45 a 54 años;Ambos sexos;2008;22.911,59
Castilla - La Mancha;De 45 a 54 años;Mujeres;2021;22.479,35
Castilla - La Mancha;De 45 a 54 años;Mujeres;2020;21.424,22
Castilla - La Mancha;De 45 a 54 años;Mujeres;2019;20.479,4
Castilla - La Mancha;De 45 a 54 años;Mujeres;2018;20.332,55
Castilla - La Mancha;De 45 a 54 años;Mujeres;2017;19.412,84
Castilla - La Mancha;De 45 a 54 años;Mujeres;2016;19.737,25
Castilla - La Mancha;De 45 a 54 años;Mujeres;2015;19.409,57
Castilla - La Mancha;De 45 a 54 años;Mujeres;2014;19.027,57
Castilla - La Mancha;De 45 a 54 años;Mujeres;2013;18.737,55
Castilla - La Mancha;De 45 a 54 años;Mujeres;2012;18.227,71
Castilla - La Mancha;De 45 a 54 años;Mujeres;2011;19.137,33
Castilla - La Mancha;De 45 a 54 años;Mujeres;2010;19.782,01
Castilla - La Mancha;De 45 a 54 años;Mujeres;2009;20.160,27
Castilla - La Mancha;De 45 a 54 años;Mujeres;2008;20.082,62
Castilla - La Mancha;De 45 a 54 años;Hombres;2021;26.342,49
Castilla - La Mancha;De 45 a 54 años;Hombres;2020;25.527,21
Castilla - La Mancha;De 45 a 54 años;Hombres;2019;25.070,15
Castilla - La Mancha;De 45 a 54 años;Hombres;2018;25.661,54
Castilla - La Mancha;De 45 a 54 años;Hombres;2017;24.825,34
Castilla - La Mancha;De 45 a 54 años;Hombres;2016;24.644,02
Castilla - La Mancha;De 45 a 54 años;Hombres;2015;25.225,42
Castilla - La Mancha;De 45 a 54 años;Hombres;2014;25.358,97
Castilla - La Mancha;De 45 a 54 años;Hombres;2013;26.016,21
Castilla - La Mancha;De 45 a 54 años;Hombres;2012;25.310,14
Castilla - La Mancha;De 45 a 54 años;Hombres;2011;26.029,32
Castilla - La Mancha;De 45 a 54 años;Hombres;2010;24.895,71
Castilla - La Mancha;De 45 a 54 años;Hombres;2009;25.467,09
Castilla - La Mancha;De 45 a 54 años;Hombres;2008;24.486,58
Castilla - La Mancha;55 y más años;Ambos sexos;2021;26.310,95
Castilla - La Mancha;55 y más años;Ambos sexos;2020;25.612,12
Castilla - La Mancha;55 y más años;Ambos sexos;2019;25.937,19
Castilla - La Mancha;55 y más años;Ambos sexos;2018;25.677,61
Castilla - La Mancha;55 y más años;Ambos sexos;2017;25.416,37
Castilla - La Mancha;55 y más años;Ambos sexos;2016;25.392,56
Castilla - La Mancha;55 y más años;Ambos sexos;2015;25.316,1
Castilla - La Mancha;55 y más años;Ambos sexos;2014;23.878,35
Castilla - La Mancha;55 y más años;Ambos sexos;2013;24.075,05
Castilla - La Mancha;55 y más años;Ambos sexos;2012;23.696
Castilla - La Mancha;55 y más años;Ambos sexos;2011;23.716,32
Castilla - La Mancha;55 y más años;Ambos sexos;2010;23.025,04
Castilla - La Mancha;55 y más años;Ambos sexos;2009;24.011,52
Castilla - La Mancha;55 y más años;Ambos sexos;2008;23.574,36
Castilla - La Mancha;55 y más años;Mujeres;2021;23.074,2
Castilla - La Mancha;55 y más años;Mujeres;2020;23.479,78
Castilla - La Mancha;55 y más años;Mujeres;2019;23.045,64
Castilla - La Mancha;55 y más años;Mujeres;2018;22.017,19
Castilla - La Mancha;55 y más años;Mujeres;2017;21.747,79
Castilla - La Mancha;55 y más años;Mujeres;2016;21.670,25
Castilla - La Mancha;55 y más años;Mujeres;2015;22.164,43
Castilla - La Mancha;55 y más años;Mujeres;2014;-20.202,07
Castilla - La Mancha;55 y más años;Mujeres;2013;-20.947,85
Castilla - La Mancha;55 y más años;Mujeres;2012;-20.689,8
Castilla - La Mancha;55 y más años;Mujeres;2011;-20.543,17
Castilla - La Mancha;55 y más años;Mujeres;2010;-17.467,79
Castilla - La Mancha;55 y más años;Mujeres;2009;-21.258,88
Castilla - La Mancha;55 y más años;Mujeres;2008;-21.255,93
Castilla - La Mancha;55 y más años;Hombres;2021;28.765,97
Castilla - La Mancha;55 y más años;Hombres;2020;27.156,99
Castilla - La Mancha;55 y más años;Hombres;2019;28.302,75
Castilla - La Mancha;55 y más años;Hombres;2018;28.413,09
Castilla - La Mancha;55 y más años;Hombres;2017;28.145,24
Castilla - La Mancha;55 y más años;Hombres;2016;27.969,39
Castilla - La Mancha;55 y más años;Hombres;2015;27.568,43
Castilla - La Mancha;55 y más años;Hombres;2014;26.101,17
Castilla - La Mancha;55 y más años;Hombres;2013;26.418,22
Castilla - La Mancha;55 y más años;Hombres;2012;25.535,81
Castilla - La Mancha;55 y más años;Hombres;2011;25.395,05
Castilla - La Mancha;55 y más años;Hombres;2010;26.139,61
Castilla - La Mancha;55 y más años;Hombres;2009;25.318,52
Castilla - La Mancha;55 y más años;Hombres;2008;24.563,28
Cataluña;Todas las edades;Ambos sexos;2021;28.145,02
Cataluña;Todas las edades;Ambos sexos;2020;27.100,11
Cataluña;Todas las edades;Ambos sexos;2019;25.968,2
Cataluña;Todas las edades;Ambos sexos;2018;25.552,84
Cataluña;Todas las edades;Ambos sexos;2017;25.180,45
Cataluña;Todas las edades;Ambos sexos;2016;24.454,64
Cataluña;Todas las edades;Ambos sexos;2015;24.321,57
Cataluña;Todas las edades;Ambos sexos;2014;23.927,17
Cataluña;Todas las edades;Ambos sexos;2013;24.253,73
Cataluña;Todas las edades;Ambos sexos;2012;24.436,39
Cataluña;Todas las edades;Ambos sexos;2011;24.499,32
Cataluña;Todas las edades;Ambos sexos;2010;24.449,19
Cataluña;Todas las edades;Ambos sexos;2009;23.851,31
Cataluña;Todas las edades;Ambos sexos;2008;23.375,54
Cataluña;Todas las edades;Mujeres;2021;25.015,94
Cataluña;Todas las edades;Mujeres;2020;24.096,69
Cataluña;Todas las edades;Mujeres;2019;22.988,22
Cataluña;Todas las edades;Mujeres;2018;22.289,9
Cataluña;Todas las edades;Mujeres;2017;21.801,47
Cataluña;Todas las edades;Mujeres;2016;21.110,34
Cataluña;Todas las edades;Mujeres;2015;20.946,56
Cataluña;Todas las edades;Mujeres;2014;20.324,88
Cataluña;Todas las edades;Mujeres;2013;20.740,55
Cataluña;Todas las edades;Mujeres;2012;20.931,07
Cataluña;Todas las edades;Mujeres;2011;20.799,94
Cataluña;Todas las edades;Mujeres;2010;21.042,14
Cataluña;Todas las edades;Mujeres;2009;20.467,14
Cataluña;Todas las edades;Mujeres;2008;19.928,48
Cataluña;Todas las edades;Hombres;2021;31.212,67
Cataluña;Todas las edades;Hombres;2020;30.003,62
Cataluña;Todas las edades;Hombres;2019;28.965,38
Cataluña;Todas las edades;Hombres;2018;28.640,23
Cataluña;Todas las edades;Hombres;2017;28.323,31
Cataluña;Todas las edades;Hombres;2016;27.572,76
Cataluña;Todas las edades;Hombres;2015;27.514,06
Cataluña;Todas las edades;Hombres;2014;27.447,71
Cataluña;Todas las edades;Hombres;2013;27.684,3
Cataluña;Todas las edades;Hombres;2012;27.836,4
Cataluña;Todas las edades;Hombres;2011;28.025,61
Cataluña;Todas las edades;Hombres;2010;27.601,02
Cataluña;Todas las edades;Hombres;2009;26.901,3
Cataluña;Todas las edades;Hombres;2008;26.353,89
Cataluña;Menos de 25 años;Ambos sexos;2021;13.218,66
Cataluña;Menos de 25 años;Ambos sexos;2020;13.393,5
Cataluña;Menos de 25 años;Ambos sexos;2019;13.070,69
Cataluña;Menos de 25 años;Ambos sexos;2018;13.020,99
Cataluña;Menos de 25 años;Ambos sexos;2017;11.183,93
Cataluña;Menos de 25 años;Ambos sexos;2016;10.809,83
Cataluña;Menos de 25 años;Ambos sexos;2015;11.051,99
Cataluña;Menos de 25 años;Ambos sexos;2014;11.835,17
Cataluña;Menos de 25 años;Ambos sexos;2013;10.471,48
Cataluña;Menos de 25 años;Ambos sexos;2012;11.339,79
Cataluña;Menos de 25 años;Ambos sexos;2011;12.278,77
Cataluña;Menos de 25 años;Ambos sexos;2010;14.118,39
Cataluña;Menos de 25 años;Ambos sexos;2009;12.754,9
Cataluña;Menos de 25 años;Ambos sexos;2008;13.371,85
Cataluña;Menos de 25 años;Mujeres;2021;11.936,28
Cataluña;Menos de 25 años;Mujeres;2020;12.023,73
Cataluña;Menos de 25 años;Mujeres;2019;12.122,68
Cataluña;Menos de 25 años;Mujeres;2018;11.632,66
Cataluña;Menos de 25 años;Mujeres;2017;-9.438,05
Cataluña;Menos de 25 años;Mujeres;2016;-9.587,48
Cataluña;Menos de 25 años;Mujeres;2015;-9.656,64
Cataluña;Menos de 25 años;Mujeres;2014;10.257,65
Cataluña;Menos de 25 años;Mujeres;2013;-8.948,92
Cataluña;Menos de 25 años;Mujeres;2012;-10.220,34
Cataluña;Menos de 25 años;Mujeres;2011;11.275,31
Cataluña;Menos de 25 años;Mujeres;2010;12.944,37
Cataluña;Menos de 25 años;Mujeres;2009;11.595,12
Cataluña;Menos de 25 años;Mujeres;2008;12.177,99
Cataluña;Menos de 25 años;Hombres;2021;14.196,07
Cataluña;Menos de 25 años;Hombres;2020;14.484,75
Cataluña;Menos de 25 años;Hombres;2019;13.928,57
Cataluña;Menos de 25 años;Hombres;2018;14.180,34
Cataluña;Menos de 25 años;Hombres;2017;12.939,2
Cataluña;Menos de 25 años;Hombres;2016;11.880,16
Cataluña;Menos de 25 años;Hombres;2015;-12.545,16
Cataluña;Menos de 25 años;Hombres;2014;13.589,54
Cataluña;Menos de 25 años;Hombres;2013;-12.016,2
Cataluña;Menos de 25 años;Hombres;2012;12.357,17
Cataluña;Menos de 25 años;Hombres;2011;13.343,87
Cataluña;Menos de 25 años;Hombres;2010;15.347,46
Cataluña;Menos de 25 años;Hombres;2009;13.905,95
Cataluña;Menos de 25 años;Hombres;2008;14.433,4
Cataluña;De 25 a 34 años;Ambos sexos;2021;23.026,1
Cataluña;De 25 a 34 años;Ambos sexos;2020;22.338,55
Cataluña;De 25 a 34 años;Ambos sexos;2019;21.656,58
Cataluña;De 25 a 34 años;Ambos sexos;2018;21.621,47
Cataluña;De 25 a 34 años;Ambos sexos;2017;20.295,36
Cataluña;De 25 a 34 años;Ambos sexos;2016;19.522,21
Cataluña;De 25 a 34 años;Ambos sexos;2015;19.901,3
Cataluña;De 25 a 34 años;Ambos sexos;2014;20.051,79
Cataluña;De 25 a 34 años;Ambos sexos;2013;19.250,22
Cataluña;De 25 a 34 años;Ambos sexos;2012;20.235,8
Cataluña;De 25 a 34 años;Ambos sexos;2011;20.975,62
Cataluña;De 25 a 34 años;Ambos sexos;2010;21.346,22
Cataluña;De 25 a 34 años;Ambos sexos;2009;21.321,57
Cataluña;De 25 a 34 años;Ambos sexos;2008;20.770
Cataluña;De 25 a 34 años;Mujeres;2021;21.262,22
Cataluña;De 25 a 34 años;Mujeres;2020;20.780,86
Cataluña;De 25 a 34 años;Mujeres;2019;20.275,4
Cataluña;De 25 a 34 años;Mujeres;2018;19.689,55
Cataluña;De 25 a 34 años;Mujeres;2017;18.908,99
Cataluña;De 25 a 34 años;Mujeres;2016;18.013,37
Cataluña;De 25 a 34 años;Mujeres;2015;18.155,18
Cataluña;De 25 a 34 años;Mujeres;2014;18.374,8
Cataluña;De 25 a 34 años;Mujeres;2013;17.760,41
Cataluña;De 25 a 34 años;Mujeres;2012;18.672,28
Cataluña;De 25 a 34 años;Mujeres;2011;19.283,64
Cataluña;De 25 a 34 años;Mujeres;2010;19.804
Cataluña;De 25 a 34 años;Mujeres;2009;19.612,89
Cataluña;De 25 a 34 años;Mujeres;2008;18.723,1
Cataluña;De 25 a 34 años;Hombres;2021;24.709,93
Cataluña;De 25 a 34 años;Hombres;2020;23.880,08
Cataluña;De 25 a 34 años;Hombres;2019;23.034,61
Cataluña;De 25 a 34 años;Hombres;2018;23.522,09
Cataluña;De 25 a 34 años;Hombres;2017;21.557,72
Cataluña;De 25 a 34 años;Hombres;2016;20.899,28
Cataluña;De 25 a 34 años;Hombres;2015;21.485,76
Cataluña;De 25 a 34 años;Hombres;2014;21.725,29
Cataluña;De 25 a 34 años;Hombres;2013;20.806,13
Cataluña;De 25 a 34 años;Hombres;2012;21.887,21
Cataluña;De 25 a 34 años;Hombres;2011;22.759,05
Cataluña;De 25 a 34 años;Hombres;2010;22.819,09
Cataluña;De 25 a 34 años;Hombres;2009;22.913,66
Cataluña;De 25 a 34 años;Hombres;2008;22.778,35
Cataluña;De 35 a 44 años;Ambos sexos;2021;28.220,68
Cataluña;De 35 a 44 años;Ambos sexos;2020;27.340,77
Cataluña;De 35 a 44 años;Ambos sexos;2019;26.755,81
Cataluña;De 35 a 44 años;Ambos sexos;2018;26.803,12
Cataluña;De 35 a 44 años;Ambos sexos;2017;26.048,05
Cataluña;De 35 a 44 años;Ambos sexos;2016;25.255,98
Cataluña;De 35 a 44 años;Ambos sexos;2015;24.779,02
Cataluña;De 35 a 44 años;Ambos sexos;2014;24.819,4
Cataluña;De 35 a 44 años;Ambos sexos;2013;25.273,28
Cataluña;De 35 a 44 años;Ambos sexos;2012;25.676,02
Cataluña;De 35 a 44 años;Ambos sexos;2011;25.756,86
Cataluña;De 35 a 44 años;Ambos sexos;2010;25.791,58
Cataluña;De 35 a 44 años;Ambos sexos;2009;24.863,31
Cataluña;De 35 a 44 años;Ambos sexos;2008;24.625,89
Cataluña;De 35 a 44 años;Mujeres;2021;25.059,95
Cataluña;De 35 a 44 años;Mujeres;2020;24.428,58
Cataluña;De 35 a 44 años;Mujeres;2019;23.604,22
Cataluña;De 35 a 44 años;Mujeres;2018;23.847,27
Cataluña;De 35 a 44 años;Mujeres;2017;23.128,96
Cataluña;De 35 a 44 años;Mujeres;2016;22.600,09
Cataluña;De 35 a 44 años;Mujeres;2015;21.876,45
Cataluña;De 35 a 44 años;Mujeres;2014;21.603,82
Cataluña;De 35 a 44 años;Mujeres;2013;22.014,18
Cataluña;De 35 a 44 años;Mujeres;2012;22.290,3
Cataluña;De 35 a 44 años;Mujeres;2011;22.105,48
Cataluña;De 35 a 44 años;Mujeres;2010;22.322,87
Cataluña;De 35 a 44 años;Mujeres;2009;21.430
Cataluña;De 35 a 44 años;Mujeres;2008;20.917,58
Cataluña;De 35 a 44 años;Hombres;2021;31.341,52
Cataluña;De 35 a 44 años;Hombres;2020;30.098,22
Cataluña;De 35 a 44 años;Hombres;2019;29.834,9
Cataluña;De 35 a 44 años;Hombres;2018;29.581,56
Cataluña;De 35 a 44 años;Hombres;2017;28.808,23
Cataluña;De 35 a 44 años;Hombres;2016;27.675,98
Cataluña;De 35 a 44 años;Hombres;2015;27.582,98
Cataluña;De 35 a 44 años;Hombres;2014;28.007,67
Cataluña;De 35 a 44 años;Hombres;2013;28.300,77
Cataluña;De 35 a 44 años;Hombres;2012;28.810,99
Cataluña;De 35 a 44 años;Hombres;2011;29.096,18
Cataluña;De 35 a 44 años;Hombres;2010;29.019,02
Cataluña;De 35 a 44 años;Hombres;2009;27.979,48
Cataluña;De 35 a 44 años;Hombres;2008;27.800,67
Cataluña;De 45 a 54 años;Ambos sexos;2021;30.941,02
Cataluña;De 45 a 54 años;Ambos sexos;2020;29.854,86
Cataluña;De 45 a 54 años;Ambos sexos;2019;28.446,07
Cataluña;De 45 a 54 años;Ambos sexos;2018;27.552,72
Cataluña;De 45 a 54 años;Ambos sexos;2017;27.398,9
Cataluña;De 45 a 54 años;Ambos sexos;2016;26.701,36
Cataluña;De 45 a 54 años;Ambos sexos;2015;26.887,21
Cataluña;De 45 a 54 años;Ambos sexos;2014;26.715,54
Cataluña;De 45 a 54 años;Ambos sexos;2013;26.907,69
Cataluña;De 45 a 54 años;Ambos sexos;2012;26.838,01
Cataluña;De 45 a 54 años;Ambos sexos;2011;27.257,05
Cataluña;De 45 a 54 años;Ambos sexos;2010;27.296,2
Cataluña;De 45 a 54 años;Ambos sexos;2009;26.366,02
Cataluña;De 45 a 54 años;Ambos sexos;2008;26.764,15
Cataluña;De 45 a 54 años;Mujeres;2021;26.847,7
Cataluña;De 45 a 54 años;Mujeres;2020;25.985,3
Cataluña;De 45 a 54 años;Mujeres;2019;24.428,85
Cataluña;De 45 a 54 años;Mujeres;2018;23.502,36
Cataluña;De 45 a 54 años;Mujeres;2017;23.110,7
Cataluña;De 45 a 54 años;Mujeres;2016;22.210,96
Cataluña;De 45 a 54 años;Mujeres;2015;22.720,94
Cataluña;De 45 a 54 años;Mujeres;2014;21.556,39
Cataluña;De 45 a 54 años;Mujeres;2013;22.097,78
Cataluña;De 45 a 54 años;Mujeres;2012;22.075,58
Cataluña;De 45 a 54 años;Mujeres;2011;22.208,09
Cataluña;De 45 a 54 años;Mujeres;2010;22.204,92
Cataluña;De 45 a 54 años;Mujeres;2009;21.933,67
Cataluña;De 45 a 54 años;Mujeres;2008;22.120,02
Cataluña;De 45 a 54 años;Hombres;2021;35.112,17
Cataluña;De 45 a 54 años;Hombres;2020;33.662,8
Cataluña;De 45 a 54 años;Hombres;2019;32.742,58
Cataluña;De 45 a 54 años;Hombres;2018;31.368,54
Cataluña;De 45 a 54 años;Hombres;2017;31.364,36
Cataluña;De 45 a 54 años;Hombres;2016;30.958,13
Cataluña;De 45 a 54 años;Hombres;2015;30.658,18
Cataluña;De 45 a 54 años;Hombres;2014;31.719,94
Cataluña;De 45 a 54 años;Hombres;2013;31.540,38
Cataluña;De 45 a 54 años;Hombres;2012;31.471,83
Cataluña;De 45 a 54 años;Hombres;2011;32.101,86
Cataluña;De 45 a 54 años;Hombres;2010;32.197,37
Cataluña;De 45 a 54 años;Hombres;2009;30.695,11
Cataluña;De 45 a 54 años;Hombres;2008;30.814,1
Cataluña;55 y más años;Ambos sexos;2021;30.995,02
Cataluña;55 y más años;Ambos sexos;2020;29.732,31
Cataluña;55 y más años;Ambos sexos;2019;28.824,02
Cataluña;55 y más años;Ambos sexos;2018;27.918,39
Cataluña;55 y más años;Ambos sexos;2017;27.591,41
Cataluña;55 y más años;Ambos sexos;2016;26.933,5
Cataluña;55 y más años;Ambos sexos;2015;26.939,09
Cataluña;55 y más años;Ambos sexos;2014;26.870,15
Cataluña;55 y más años;Ambos sexos;2013;26.709,89
Cataluña;55 y más años;Ambos sexos;2012;26.893,49
Cataluña;55 y más años;Ambos sexos;2011;27.508,98
Cataluña;55 y más años;Ambos sexos;2010;28.474,62
Cataluña;55 y más años;Ambos sexos;2009;26.812,3
Cataluña;55 y más años;Ambos sexos;2008;26.548,21
Cataluña;55 y más años;Mujeres;2021;27.448,84
Cataluña;55 y más años;Mujeres;2020;26.019,05
Cataluña;55 y más años;Mujeres;2019;25.365
Cataluña;55 y más años;Mujeres;2018;23.312,49
Cataluña;55 y más años;Mujeres;2017;22.709,05
Cataluña;55 y más años;Mujeres;2016;21.898,34
Cataluña;55 y más años;Mujeres;2015;21.728,03
Cataluña;55 y más años;Mujeres;2014;21.514,58
Cataluña;55 y más años;Mujeres;2013;22.171,56
Cataluña;55 y más años;Mujeres;2012;22.070,96
Cataluña;55 y más años;Mujeres;2011;21.904,9
Cataluña;55 y más años;Mujeres;2010;23.359,65
Cataluña;55 y más años;Mujeres;2009;21.229,85
Cataluña;55 y más años;Mujeres;2008;21.611,84
Cataluña;55 y más años;Hombres;2021;34.484,99
Cataluña;55 y más años;Hombres;2020;33.405,83
Cataluña;55 y más años;Hombres;2019;32.252,65
Cataluña;55 y más años;Hombres;2018;32.313,01
Cataluña;55 y más años;Hombres;2017;32.077,64
Cataluña;55 y más años;Hombres;2016;31.856,89
Cataluña;55 y más años;Hombres;2015;32.144,78
Cataluña;55 y más años;Hombres;2014;31.628,21
Cataluña;55 y más años;Hombres;2013;31.263,19
Cataluña;55 y más años;Hombres;2012;31.490,89
Cataluña;55 y más años;Hombres;2011;32.139,31
Cataluña;55 y más años;Hombres;2010;32.195,45
Cataluña;55 y más años;Hombres;2009;30.630,47
Cataluña;55 y más años;Hombres;2008;29.573,45
Comunitat Valenciana;Todas las edades;Ambos sexos;2021;23.448,29
Comunitat Valenciana;Todas las edades;Ambos sexos;2020;22.856,7
Comunitat Valenciana;Todas las edades;Ambos sexos;2019;22.045,66
Comunitat Valenciana;Todas las edades;Ambos sexos;2018;22.121,05
Comunitat Valenciana;Todas las edades;Ambos sexos;2017;21.362,39
Comunitat Valenciana;Todas las edades;Ambos sexos;2016;21.168,81
Comunitat Valenciana;Todas las edades;Ambos sexos;2015;20.935,41
Comunitat Valenciana;Todas las edades;Ambos sexos;2014;20.639,58
Comunitat Valenciana;Todas las edades;Ambos sexos;2013;20.878,02
Comunitat Valenciana;Todas las edades;Ambos sexos;2012;21.223,72
Comunitat Valenciana;Todas las edades;Ambos sexos;2011;21.316,34
Comunitat Valenciana;Todas las edades;Ambos sexos;2010;20.707,24
Comunitat Valenciana;Todas las edades;Ambos sexos;2009;20.489,79
Comunitat Valenciana;Todas las edades;Ambos sexos;2008;19.793,62
Comunitat Valenciana;Todas las edades;Mujeres;2021;20.670,5
Comunitat Valenciana;Todas las edades;Mujeres;2020;20.165,73
Comunitat Valenciana;Todas las edades;Mujeres;2019;19.314,58
Comunitat Valenciana;Todas las edades;Mujeres;2018;19.235,72
Comunitat Valenciana;Todas las edades;Mujeres;2017;18.523,81
Comunitat Valenciana;Todas las edades;Mujeres;2016;18.349,52
Comunitat Valenciana;Todas las edades;Mujeres;2015;17.811,38
Comunitat Valenciana;Todas las edades;Mujeres;2014;17.511,66
Comunitat Valenciana;Todas las edades;Mujeres;2013;17.918,36
Comunitat Valenciana;Todas las edades;Mujeres;2012;17.870,88
Comunitat Valenciana;Todas las edades;Mujeres;2011;18.052,49
Comunitat Valenciana;Todas las edades;Mujeres;2010;17.776,59
Comunitat Valenciana;Todas las edades;Mujeres;2009;17.426,72
Comunitat Valenciana;Todas las edades;Mujeres;2008;16.929,69
Comunitat Valenciana;Todas las edades;Hombres;2021;25.914,86
Comunitat Valenciana;Todas las edades;Hombres;2020;25.239,04
Comunitat Valenciana;Todas las edades;Hombres;2019;24.499,53
Comunitat Valenciana;Todas las edades;Hombres;2018;24.537,07
Comunitat Valenciana;Todas las edades;Hombres;2017;23.867,74
Comunitat Valenciana;Todas las edades;Hombres;2016;23.672,18
Comunitat Valenciana;Todas las edades;Hombres;2015;23.919,14
Comunitat Valenciana;Todas las edades;Hombres;2014;23.479,71
Comunitat Valenciana;Todas las edades;Hombres;2013;23.651,4
Comunitat Valenciana;Todas las edades;Hombres;2012;24.289,23
Comunitat Valenciana;Todas las edades;Hombres;2011;24.171,87
Comunitat Valenciana;Todas las edades;Hombres;2010;23.331,71
Comunitat Valenciana;Todas las edades;Hombres;2009;22.951,64
Comunitat Valenciana;Todas las edades;Hombres;2008;22.039,14
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2021;11.756,4
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2020;11.211,98
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2019;11.351,86
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2018;11.595,94
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2017;-9.842,61
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2016;-9.904,46
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2015;-9.267,67
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2014;-9.333,44
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2013;-9.774,03
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2012;-10.002,26
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2011;11.028,71
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2010;11.863,25
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2009;12.125,1
Comunitat Valenciana;Menos de 25 años;Ambos sexos;2008;12.572,35
Comunitat Valenciana;Menos de 25 años;Mujeres;2021;-9.594,56
Comunitat Valenciana;Menos de 25 años;Mujeres;2020;-9.568,6
Comunitat Valenciana;Menos de 25 años;Mujeres;2019;-9.939,88
Comunitat Valenciana;Menos de 25 años;Mujeres;2018;-9.238,54
